reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A14UXBBB68V9R0,B0002GZBO2,StudentBern,"[3, 3]","If you need it, good unobtrusive device for front or as a momentary back strap.  Leather or simulated, this was quite adequate for my purposes.  Price was right! Delivery was immediate.  Rolls up to fit in gig bag and no doubt would adequately go into the hard case.  This one is compatible with the finish on my instrument, since it comes in at least two distinct color tones.Planet Waves Mandolin Strap, Brown.  Also comes in Black. There is also an embossed model (Brown) offered at minimumly higher price.",5.0,Mandolin Support Strap,1347580800,"09 14, 2012"
A14XXL4GMWSI47,B0002II6V0,"Daryl J. Healey ""Daryl""","[1, 2]","I really wanted this to work, but it doesn't.  Don't bother,it doesn't mute the strings at all.  One star, just for it getting here on time.",1.0,Glaesel Violin Mute,1384300800,"11 13, 2013"
A151EUL2C4GJNE,B0002E5518,"John C. ""Fine Artist""","[0, 0]",I use is this mount to support a Samson meteor mic. It works great. I would definitely buy this again. The mounting is designed to work on any diameter microphone stand. It has good positive adjustments even with a heavy mic on the end.,5.0,Substantial amount,1344556800,"08 10, 2012"
A15RCM1I2ATTXJ,B0002E3B78,James Lawless,"[0, 0]","quiet, almost hum free - clear respose - no volume control doesn't befront me because i use it to record & to play thru a PA where either I or someone else keeps the volume under control. It tends to be bass heavy, but a slight eq revisit more than compensates for that. I had used one in the past, this is a more solid unit & fits movement free in the soundhole of my guitar & also in two others i use here and there. great job. great value. got herre quick in a nice little carry bag & I will update if problems come later - don't see why or how tho",4.0,More than expected -,1373068800,"07 6, 2013"
A15TYOEWBQYF0X,B0002D0LKY,"David W ""Dave""","[0, 0]","I just put this on my Dot Hollowbody.  It's a big, heavy guitar and this strap looks good and does the job.  I like how it looks and feels and would buy another one just like it.  The price was great, had the Gibson name on it and was a great value.  5 stars.",5.0,"WOW, great strap",1397001600,"04 9, 2014"
A15TYOEWBQYF0X,B0002E1O5E,"David W ""Dave""","[0, 0]","I put these on one of my Gibson Les Pauls' and so far so good.  Great sound and no wear after one session, unlike the D'Addario strings.I will update in a few weeks as I see how long they last.",5.0,great strings,1393977600,"03 5, 2014"
A15TYOEWBQYF0X,B000FIZISQ,"David W ""Dave""","[1, 1]","I am disabled, a disabled Vietnam Vet, and my mobility is becoming more limited every winter.  My wife bought me this for Christmas, thinking I needed a new hobby to keep me busy during the harsh winter months.I am so happy she did.  My first thought was ""Now I have to learn how to play this thing"".  I am so glad she chose this particular guitar for me to start with.  I now own 26 guitars and have even built 2 custom guitars.  I always get carried away with new projects and can already play quite well, or so I'm told.  I practice a lot.Now about the guitar.  I wanted to wait until I knew a little something before I reviewed it.  First, I don't know how they sell these for the price they do.  It is a very high quality piece, comparable to guitars in the thousand dollar price range.The action is nice and low, good especially for a beginner.  I did find just the perfect strings and it made a world of difference.  I use light D'Addaro strings and love the tone and feel.The Yamaha is solid wood everywhere, no laminate as you'd expect for this price.  The tone is fantastic, the finish is flawless and tough.  It sounds great gently playing or really getting down and rough with it.  I have been strumming vigorously for over four months now and not a mark is on the guitar.  I have been playing many other guitars, all electric as well and am looking at a high end acoustic now, but will always keep my first.  There is no reason for me to need another acoustic, I just will because I can.This Yamaha has great tuners and stays in tune well, rarely having to make an adjustment once the strings are stretched.The neck is nice, though a bit thick so I cheat sometimes with my thumb on the low E.  The set-up was perfect with this and I just can't see where it's going to take much if any maintenance over the years other than replacing strings as needed.The Yamaha came with a great hard case, tuner, pics and other goodies as a package and was very inexpensive.  I did put a nice soft leather strap with a quick disconnect on it as there is no front strap button but no big deal there.If you're looking for a nice acoustic or thinking about taking up playing, this would be a great place to start.  I see these selling used for what I paid for mine new so you're bot going to lose money on it either.  Read the other reviews, this is a really nice value.  It is still my only acoustic that I own, my other 25 guitars are all electrics or project guitars.  I do have my eye on a Martin though.5 PLUS stars for this one.  If you're considering it, buy it.  You will not regret it.  I still play this on almost every day.",5.0,My first guitar and a great one to start with,1397433600,"04 14, 2014"
A16MRPHIU3JUXF,B0008G26JO,Cut to the Chase,"[0, 0]","Replaced a stock fender speaker in a modified Mustang Lead II cabinet that I now use connected to a Hughes and Kettner amp.  This speaker dramatically improved the sound of the cabinet, and sounded good using the Mustang II amp as well.  This speaker seems to take some of the sizzle and shrill off the high-end to make a nice even sound.  I'm quite pleased with this speaker.",5.0,Awesome.,1391385600,"02 3, 2014"
A17CU1D2CWXOHB,B0002DV7U2,Rick,"[0, 0]","I needed some little, easy, and portable guitar stands for the stage.  This does it perfectly, well.  While being light and portable.",5.0,Perfect.,1397606400,"04 16, 2014"
A17IU5NX3UC84G,B0006NDF8A,"Casby ""-Casby""","[0, 0]","Not perfect but a solid stand. Prone to tipping over if you just toss your guitar onto it the way I do. And the bottom part that holds the guitar isn't fixed so it's good and bad. Good because it'll hand nearly and shape guitar at odd angles. Bad because if you just toss your guitar onto it the way I do, sometimes it just swings around annoyingly.",4.0,Simple and effective,1368489600,"05 14, 2013"
A17IU5NX3UC84G,B000LQLDM2,"Casby ""-Casby""","[1, 1]","While the product came as described, the build quality felt a little lacking. On the website it mentioned that it accepts the Shure KSM32 threading but it does not, so if you're threading matches the KSM32, look elsewhere.",2.0,Eh... there's better out there,1371772800,"06 21, 2013"
A17SLR18TUMULM,B0002ZPK0S,Straydogger,"[1, 1]",These plugs are well made and serve the purpose they were intended for. If I buy more in the future I will be checking here first.,4.0,Nice Product.,1359590400,"01 31, 2013"
A17VW66OGW0ZKA,B0002D0CLC,DMANBASS,"[0, 1]",They are half the size of a regular pick.  Bit too thick for me.  Sound nice. Will last forever. Wish I had sized them before I bought them.,3.0,Too small,1338508800,"06 1, 2012"
A18MMME07XZLYO,B0002CZUUG,zachary,"[0, 0]","I got this guitar at Guitar Center, i was scared to get this guitar from amazon because of a review saying it looked like a toy, so i wanted to see it in person, i saw it, i tested it out at guitar center and it was amazing, its better than my other les paul special ii, this guitar plays great, its set up very nicely, the pickups are very nice, the electronics work perfectly, i have no problems with it, but the guitar is very beautiful, i would highly recommend getting it, i just dont know if anyone elses will be the same, not all guitars are made the same right?",5.0,Just Amazing!!!,1387497600,"12 20, 2013"
A18RGYRCEN181M,B0002D0CKI,Truvor,"[0, 0]","Using the stubby spoiled me for all other picks. You simply play faster, no matter what level you are. Alternate picking speeds increase because there is no more flat-pick drag. Now I only use flat picks for acoustic play when I want to hear the crunch. 24 picks in a pack, is an insane bargain. You pay twice as much in a store.",5.0,Can't use any other pick,1381536000,"10 12, 2013"
A18ZKZXXA3WHSJ,B0002GXF8Q,Edward,"[0, 0]",Fits the Behringer XM8500 perfectly. It actually dampens the sound giving better a more smoother sound and reducing harsh parts of vocals.,5.0,Tight fit on Behringer XM8500,1391472000,"02 4, 2014"
A194BLXLSNY8SE,B000978D58,Just Visiting,"[0, 0]","This seems like a good deal for the price. I have concerns about durability for anyone who has to frequently adjust the boom, or takes it on the road, because that boom-adjustment joint is a bit flimsy. I bought it for home studio use by just me, so I am totally satisfied.",4.0,Works,1375574400,"08 4, 2013"
A1A15ECLHM9BQY,B000EEJAWQ,Nick,"[0, 0]","Here's what strap locks are supposed to do: securely attach your strap to your guitar. These do that much better than Schallers and the Fender rip-offs of Schaller.I used the Schallers many years ago. They look great, but the problem is they screw onto the strap with a nut. I am very good with maintenance, check for loose parts, etc., but at one gig with my super heavy American deluxe 5 string jazz bass, the nut worked its way off the strap, and I dropped it. It was with a heavy leather strap, and I did tighten it down with pliers upon installation and I'm sure I kept it maintained. Absolutely ridiculous and inexcusable. Never again. Unless you want to inspect and retighten your strap locks at every single rehearsal and gig, forget about Schallers. They're a good company and they make great tuners, I don't fault the materials, it's simply that threaded things can work their way loose, a fatal design flaw for this type of device. Come on, its only purpose is to not allow something to come off of something else.The Dunlop strap locks fit on with a locking ring. It is impossible to remove these from the strap by accident. If you're having trouble getting the lockrings on, I have a YouTube video posted to my channel, NickWeissMusic, just search for Dunlop strap lock installation. It's kind of tough at first but with experience, it's very easy. The package instructions are correct but not very helpful.I have these on more than 10 instruments, and have never had even close to a failure in well over a decade. The package recommends periodically lubricating the mechanism inside the lock, but I have never done so, in my experience lubricants usually gunk things up more than they help for things like this. I've never had so much as a grind or squeak from the button or ball bearings in these strap locks, if I did, I'd probably just replace it. I do give the locks a little tug when I put them on to make sure they're engaged, other than that, you can forget about them, which is the way it should be.The only possible downside is that these strap locks keep the strap a little further from the instrument then using no strap locks or the Schallers do, to which I say, who cares. Well, I guess a lot of people care about that, since I see it in a lot of reviews. If using no strap lock or a poorly designed one is worth it to you, just so you can have your strap a quarter inch closer to your guitar, so be it. I have seen Ernie Ball strap locks that seem to be a little lower profile, I think they use lock rings too. Maybe try those, but I'm sticking with the flawless track record of the Dunlops.",5.0,"The best value, work perfectly",1379548800,"09 19, 2013"
A1A9DIM802STMK,B0002D0Q2W,Daniel Freeman,"[1, 2]","This is a basic EQ pedal, that is a bit noisy in my testing. Even when running on battery power, there is a bit of hiss that is just enough to be annoying in my rig and probably enought to be very annoying in some higher gain rigs.",2.0,Buzzy buz buzz,1360972800,"02 16, 2013"
A1AYYN6YUIDWVG,B000J5Y282,Lee,"[0, 1]","I was actually trying to buy the smaller Xenyx when I bought this one, but I'm so glad I got this model. Unbelievable amount of flexibility built into it. I use with the UCA202 audio interface and the Audio-Technica AT2035 for recording on my PC with Audacity every day since I unpacked it with no problems. Makes a perfect small studio combination!",5.0,Perfect for my studio,1371859200,"06 22, 2013"
A1B9TIERY43Q8H,B0006NDF8A,GeekParrot,"[0, 0]",For the price you cannot go wrong with this.  Holds my Les Paul and feels secure.  I've never had any issues with this.  Don't bother spending 3-4x as much for something that does the job as well as this.EDIT - Bought another one this Christmas for another guitar and this one feels as good and as simple as the first one.,5.0,Great budget guitar stand,1341878400,"07 10, 2012"
A1B9TIERY43Q8H,B0009G1E0K,GeekParrot,"[5, 5]","If you need a simple, normal-length strap, this should work fine.  However, if you are tall and like to sling the guitar a bit on the low side, this is not what you need.  I bought this but wound up ordering theErnie Ball 4037 Black Polypro Strapinstead.  Very similar look and feel, but the Ernie Ball is MUCH longer.  The lowest I could get this to hang was just above my waist.  Again, not a bad strap, just not for us tall guys :)",4.0,Decent strap - not for tall people though,1357862400,"01 11, 2013"
A1BD73IAW04XMZ,B0002T67J2,victormanuel3007,"[0, 0]","This cable Works fine, i'm going to buy a pair in January 2013. I used it live and they are really great, durable and it feel's pro. Try one.",5.0,Monster Cable Standard,1354838400,"12 7, 2012"
A1BK0KBZBCB5V8,B0002D0CL2,Meant2Rock,"[0, 0]",it's kinda small for my hand but it works great! it's more easier to pick the string. This pack comes with 6 picks.,5.0,works great!,1332806400,"03 27, 2012"
A1C6T412QATCAJ,B0002KZAKS,Jacy D. Gillum,"[0, 0]","Works great especially for the price. Just put a little more highs and mids when you eq it, and its pretty close to the sm58.",5.0,Works great.,1390694400,"01 26, 2014"
A1C92KYEEU1T0G,B0002GXPRM,Charles McClain,"[0, 0]","This microphone clip becomes loose at the hinge very quickly, and needs to consistently be tightened. Too much of a hassle, really~",3.0,It's Alright!,1356048000,"12 21, 2012"
A1CL807EOUPVP1,B000EELFI8,GunHawk,"[0, 0]","Not much to say...I wanted  Fended tweed guitar strap and this is the exact item in my sights. Thanks, it does what it's meant to do!",5.0,Fender tweed...a standard in the music industry!,1386720000,"12 11, 2013"
A1CL807EOUPVP1,B000KIRT6A,GunHawk,"[0, 0]","Now I can use the clean channel on my amp, with this pedal, for my acoustic guitar and that leaves my channel 2 for my other pedals and my electric guitar.",5.0,With this I can use my 2-channel amp...for  acoustic and electric guitar.,1375833600,"08 7, 2013"
A1CUB195YB9XKO,B0002CZSJO,Clifford Haggerty,"[0, 0]",Basically because they are the easiest to squeeze in my opinion.  I have big hands which may be part of it.,5.0,These are my favorites,1389657600,"01 14, 2014"
A1DUPFUG526MVF,B0002D070I,"Peter A. Andolfi ""Duke Crescent Of Deviantart""","[0, 0]",I was looking for a sound hole pickup and this came as one of the best and found it to be all I expected. I use it for practice and recording myself. I really like it but for the price I wish it had just a bit more otherwise its perfect. I have it on my 1994 Martin D-18  which has a big bottom end and no matter what it always sounds fine. I have had the pickup installed for four months and it is good.,4.0,very good,1365465600,"04 9, 2013"
A1DUPFUG526MVF,B0002F7K7Y,"Peter A. Andolfi ""Duke Crescent Of Deviantart""","[0, 0]",One this is a Long Island Company located in Farmingdale New York. They are the leader in new technology of strings...,5.0,Awesome!,1362009600,"02 28, 2013"
A1DVUFG2QSJ6IK,B0002IHFVM,"grandpa ""Randy""","[0, 0]","very comfortable, lightweight, strong. Good stitching, leather ends and adjustable for short or tall. Affordable and comes in many colors.",5.0,"2"" polypropylene Guitar strap",1386547200,"12 9, 2013"
A1EMTRDX5PBNCP,B0002E2KPC,Jeremy D.,"[0, 0]","Simple to use, works well on the Squier Strat. I'm not much of a guitarist so this is my first capo and I don't have anything to compare with but the quality is way up there.",4.0,"Simple to use, works well on the Squier Strat ...",1404432000,"07 4, 2014"
A1EX4410F46C8O,B0002CZVXM,"Matt32 ""LIGHT WEIGHT""","[0, 0]","A little story to back these lock's integrity.  I installed them on a Korean made Washburn WG-587v.  Incredible guitar after tweaking.  I did a guitar spin at a show and the guitar went flying.  The strap lock was still on the strap and locked into the holder.  The screw had ripped out of the horn of the guitar!  The screw tore through about a half inch of solid wood (and I epoxy all my screws in) before the strap lock broke.  Amazing.Nice, tough hardware.  The only complaint I have is that you must use screws with small heads if you choose not to use the stock screws provided.  Easy to install, just unscrew your stock strap holder and screw in the lock holder.  Attach the lock to your strap and BAM quick release system.  Fast to take on and off of your guitar.I would suggest getting a tough, thick leather strap with a nice reinforced eye to install the quick release button in, cheap lightweight straps will eventually start to tear.  Also, the button can be a slight pain to get on certain straps.I have now switched over to DiMarzio clip lock straps instead of the leather straps with Dunlop locks for many reasons and I am very happy, but this product is GRADE A! I always felt 100% secure with these straplocks.  Our bass player uses some expensive (and heavy) Fender basses and he loves these strap locks.",4.0,Great locks,1299542400,"03 8, 2011"
A1F4FQAW2G9FRA,B000CHJTG2,"James E. Jefferson, Jr. ""triggerman""","[1, 1]",It works and is very versatile and puts out great sound and power.  the portable feature is great also. Just what i wanted,5.0,P A,1339372800,"06 11, 2012"
A1F4FQAW2G9FRA,B000GUR8V8,"James E. Jefferson, Jr. ""triggerman""","[0, 0]",Wow A bench that really holds my ass.  what can I say about it You really need it with the keyboard stand. and it was necessary to the group.,5.0,Bench,1339372800,"06 11, 2012"
A1GMWTGXW682GB,B0002H0SKS,MetalFan,"[0, 0]","I read good reviews about these strings on mylespaul.com and around the web and bought a set locally for the same price. I usually use DR Tite Fits, but these made me change for good They have a lot of mids and bass and make for a great chunky blues and classic rock sound with P90's. I also used a set on a single coil stray cigar box guitar I built and they give a lot of resonance and life to the old box and cheapo pickup. I will buy another set, DR strings never disappoint.",5.0,Used with a Les Paul and a homemade Cigar Boix guitar build.,1392854400,"02 20, 2014"
A1GOLQ90G6MHK6,B0002CZVXM,the blessed one,"[0, 0]","About 4 years ago,  one of my friend dropped his bass and its body broke in half. that bass had regualr strap button, ever since then he use this dunlop straplok system. i recently built a bass myself and i install this one. it's very easy to install, very straight forward to use it. it holds my jazz bass without any problem. i would buy this from now on for all my electic guitars.",5.0,Rock solid straplok system,1305331200,"05 14, 2011"
A1GUHIMGFE362L,B0002CZVXM,Kev,"[0, 0]","Installed on two guitars and I love them! I can switch out many different guitar straps without worrying that they will fall off. Great product, would recommend to any guitar player!",5.0,Great strap locks for any guitar!,1377216000,"08 23, 2013"
A1HJ1H7EIPFBRK,B0002H0A3S,sir helps alot,"[0, 0]",I have not used mine yet but my brother in law says it looks like i got the same strings on my guitar already i trust him he knows more about guiatars than i do,5.0,good strings,1393459200,"02 27, 2014"
A1IB42LRNA9QLW,B0002GZM00,"Joshua Cuellar ""FurianGuitarist""","[6, 9]","This product works as advertised, but you should beware. These are RIGHT ANGLED, and they WILL NOT fit in a lot of pedals including the CRYBABY WAH.You have been warned!!!",5.0,"Work great, however...",1281312000,"08 9, 2010"
A1IDPIC36H49JX,B0002CZT0M,"PK ""PK""","[3, 3]","Great,great sound. The sound of these strings is different than any other strings you could get. They also teach a guitar player to use a lighter touch while playing to produce beautiful sounds. Well worth it.",5.0,PK,1320796800,"11 9, 2011"
A1IQKXGJSKTAHP,B0002D0CLC,Slick Rhoads,"[3, 3]","I bought these and used them for a week before giving my review.If Amazon used half-stars, I would have given them 3.5/5. I just couldn't bring myself to give them a 4/5 so I went with 3/5, here's why:I've used standard medium picks for over 20 years. Switching to these was not a problem at all. Sure, they are smaller but not small enough to cause me any problems. By far the biggest change was the &#34;pointy-ness&#34; of the picks. The distinct point on the pick drastically changes the sound of your playing, especially when playing chords. Everything is much more pronounced, which isn't necessarily a good thing in my opinion. It's especially bad when playing clean electric (picking notes or strumming).If someone was to ask me if these are good picks, my answer would be &#34;it depends.&#34; It really does, in my opinion, it depends on what you're playing. From a rhythm standpoint, I don't like these at all - they take the warmth out of the chords because the point of the pick makes strummed chords sound too sterile to me. For lead work they are OK because you can really dig into each note and have it come through.Could I play faster with them? No. Could I pull off amazing licks that I couldn't do with my normal picks? No.I tried them, but didn't like them. Maybe if you typically play a TON of lead work, constantly, these would be the way to go. I don't, and they aren't for me. I'm glad I tried them, though, because I'll never wonder again if they were for me.",3.0,Depends on what you're playing,1391299200,"02 2, 2014"
A1IT51TW0UI2LM,B0002D0CEO,"D. Jones ""Thinker, Warrior, Teacher""","[1, 1]","I think Tortex / Delrin picks are the standard that others are judged by.Durable, good to gripping surface, easy to identify thicknesses by color.The only way I can think of to improve these would be to replace the black ink logo and script with some sort of raised embossing.Then your fingers will not smudge and the grip would be even better.Take a look at ""Cactus Picks"" to get an idea of what I mean.",5.0,Great picks - Tortex / Delrin are the way to go,1269907200,"03 30, 2010"
A1JDT2X4BYHZZL,B0002H0A3S,chapopot!,"[0, 0]","i have tried the other brands of strings, and this is the other brand i consistently buy! its smooth to use and the sound is superb!",5.0,quality strings,1366070400,"04 16, 2013"
A1JN3UIUZAHF7V,B0002GZ052,cvmaparadog,"[0, 0]","Works smoothly, built like a tank and looks good as well. I've tried other passive volume pedals that didn't work...this one works. Worth every penny.",5.0,Great functionality in a well-made pedal,1378512000,"09 7, 2013"
A1JN3UIUZAHF7V,B000EEJAWQ,cvmaparadog,"[0, 0]",This system does not fail. Install it and you never have to worry about it again. Although it's a good idea to lube up bearings every once in a while. I put these on all of my guitars!,5.0,The best strap retention system on the market,1393545600,"02 28, 2014"
A1K8E597YAFQQG,B0000AQRSR,Hambone73,"[0, 0]","I use this for Video Exchanges on a guitar instruction website. It's perfect for vocals, podcasting, video recording and so forth. Shure makes excellent stuff. What's also great is you save some money as an XLR cable is included. I'm very happy with this purchase.",5.0,"Great Mic, Great Deal!",1396396800,"04 2, 2014"
A1L2S18BTJE1BZ,B0002M6CVC,SLV,"[0, 1]","Been using this brand of strings since 1971,I've always been pleased. I like the super slinks as well. Love um",5.0,I just like this brand,1379894400,"09 23, 2013"
A1L3H6SSKSRNGV,B0002D0E8S,Rojimbo,"[0, 0]","the hole at the end where you hook it up gets worn out easily .. just try and leave it on always..its cheap but it wont fail, wont drop your guitar, if you're careful.",3.0,regular.,1394409600,"03 10, 2014"
A1L7M2JXN4EZCR,B0002GMGYA,David G,"[0, 0]",I think these are the same as the pricey monster cables and half the price.  I will buy Planet Waves from now on.,5.0,Great cables and great prices,1391904000,"02 9, 2014"
A1LHKVHP38M046,B0002E2KPC,J. Puentes,"[0, 0]","As capos go, this gets the job done at a good price. Easy to use. Doesn't seem to put undue pressure on the guitar.",5.0,Good capo,1370390400,"06 5, 2013"
A1LI9W7A0CYOHV,B0002CZST4,Russ,"[1, 1]","I love these strings, and use them for all of my acoustic playing. Best of all, I can find them here for $3.49 per set, so I'm not dumping a bunch of money on strings all the time. Easy to play, and they sound great.long lasting if you take care of them by wiping them down every time.",5.0,Best Acoustic Strings,1373673600,"07 13, 2013"
A1LQC225SE8UNI,B0002GZBLU,David Burch,"[0, 0]","The strap is adjustable on both ends, and the front adjustment slider sat right on my shoulder. I cut it off and glued the material back together with Shoe-Goo, and now it's great. Padding and wide material make standing with a heavy bass a whole lot less tiring.",4.0,Almost perfect,1402272000,"06 9, 2014"
A1M3XD9UV3PD3I,B0002E1O2C,"James Limborg ""JamesLimborg.com""","[0, 0]",The Elixir brand acoustic guitar strings keep their brand-new 'sound' a lot longer than any other brand.  I am very happy with the Elixir brand strings.,5.0,Elixir Has Great Strings,1356652800,"12 28, 2012"
